Normal,108608_ind1605A.txt,"Shelly,  Is there something specific you were looking for that http://csunplugged.org/ doesn't do? I"
Normal,111675_ind1209B.txt,Hi everyone  Automated assessment and visualisation of program execution is the focus of quite a lot
Normal,104839_ind1606D.txt,The SIGCSE Board is pleased to announce three recent SIGCSE Special Projects grant awards.  Making B
Normal,104514_ind0403A.txt,"Greetings,  First of all, this year's symposium was super!  Rather than just me coming from the Univ"
Normal,11234_ind9610A.txt,"I taught an upper-division undergrad course, CS 451, Program Development, last year.  The text was D"
Normal,105691_ind1101C.txt,This is nothing personal regarding the particular workshop that I'm responding to - it was selected 
Normal,111600_ind0903B.txt,Dear SIGCSE community:  The discussion on the possible need for an organization for our CS students 
Normal,1068529_ind1203A.txt,"    I'll stick by my statement, because there is a difference between what we are having the the stu"
Normal,108347_ind0005A.txt,I received 24 responses to my query on website courses. Here's the summary.  How many of your gradua
Normal,103406_ind1002C.txt,I do slash my zeros...but I don't feel at all fogey-ish. It was only very recently that I could no l
Normal,10169_ind0501C.txt,The beta editions of .NET 2.0 and Visual Studio 2005 may help.  Visual Studio can now run a miniatur
Normal,10309_ind9807B.txt,"[concluded Conrad, after a very useful exposition of the problem we face]  Amen!  There are no Holy "
Normal,10166_ind9710D.txt,"Me too, probably, but my question was a different one, relating to SIGCSE institutionally rather tha"
Conference,10291_ind0505A.txt,Hi. I'm this year's Doctoral Symposium Chair for OOPSLA. Please encourage your doctoral students to 
Normal,10509_ind9710B.txt,"  Actually, I note that there must be a fundamental difference in mindsets of ""possessiveness"" betwe"
Conference,10102_ind1404C.txt,Call for papers: 14th Koli Calling  Koli Calling is one of the leading international conferences ded
Normal,108543_ind0806A.txt,"*Welcome* By Elaine Weyuker, co-Chair   Welcome to the inaugural issue of the ACM-W newsletter. Our "
Normal,10677_ind0104A.txt,"Did anything ever come of the ""question authority... but raise your hand first"" idea that I saw on t"
Normal,10433_ind9704D.txt,
Normal,10595_ind0407C.txt,"[asked Ellen]  Hmmm. At The George Washington University, we have essentially a 3x5 setup. Most cour"
Normal,1109993_ind1607C.txt,"Thanks, I'll take a look at that book.  Yes, I meant it that way.  I know it's not really functional"
Normal,100889_ind0801C.txt," wrote: You have this backwards. ABET calls these outcomes. ABET calls these objectives.  Regards, D"
Normal,105613_ind0807E.txt, Richard Rasala pointed out that the link I included to the Taivalsaari paper was not generally usab
Normal,104856_ind1002B.txt,"David Klappholz asks:   Quick quiz: name a famous computer engineer, fictional or non-fictional. Not"
Conference,1086031_ind1102A.txt,"Dear colleagues,  I would like to inform you about an interesting conference: Information and Commun"
Job,10420_ind0101A.txt,"ALBRIGHT COLLEGE Assistant Professor of Information Systems  Albright College announces a new, tenur"
Normal,104041_ind1003A.txt,
Conference,110711_ind1308B.txt,"*Workshop on Parallel, Distributed, and High-Performance Computing*  *in*  *Undergraduate Curricula "
Normal,103497_ind0612B.txt,"Atanas Radenski wrote:   Exactly.  In the spirit of ""boy, I'm taking this way too seriously"", what a"
Normal,1106166_ind1203A.txt,"We shift languages between CS1 and CS2, so the language they had previous to CS 2 is immaterial (thi"
Normal,10663_ind1603E.txt,This year's ITiCSE keynotes will be delivered by Mehran Sahami and Mats Daniels. Plan to join us in 
Conference,10809_ind9909E.txt,The deadline to submit a proposal for a Faculty Poster for the SIGCSE 2000 Technical Symposium in Co
Normal,10907_ind9710A.txt,"I'd like to address a subject that I suspect will cause a bit of controversy.  To start, let me talk"
Normal,10368_ind9906C.txt,Hi -  This might be of interest to Java teachers or CS educators who use Java to support their teach
Normal,1020338_ind1102A.txt,I completely agree with Bob.  An anecdote may help indicate the problems of so closely aligning our 
Normal,102952_ind0801C.txt,
Normal,10065_ind0107E.txt,  I presume that you or somebody is waving this in Sun's face and telling them to make the next vers
Normal,101085_ind0612B.txt,I would not consider the Code Monkey lyrics as a cool recruitment vehicle ( http://www.jonathancoult
Job,1092373_ind1509C.txt, We are currently recruiting for two tenure-track positions in the Department of Computer Engineerin
Job,105421_ind1403C.txt,"A visiting position is available in the Department of Computer Science at Duke University in Durham,"
Normal,112195_ind0808D.txt,The CSTA maintains a list of what the teacher certification requirements are by state. See:  http://
Job,10753_ind9811E.txt,Carnegie Mellon University School of Computer Science  The Department of Computer Science's Introduc
Normal,10314_ind0905B.txt,"At SIGCSE 2009, we promised to distribute the SIGCSE 2010 logo voting data for your use in courses. "
Job,1069145_ind1509C.txt,"Colleagues,  We are still accepting applications and nominations for our tenure track faculty positi"
Job,111237_ind1609B.txt,Grinnell College has an open tenure-track position that starts fall 2017.  Grinnell is well represen
Normal,108590_ind0912A.txt,ACM has just launched the Computer Science Education Week (Dec. 6-12) website with lots of good info
Conference,107225_ind1109D.txt,The Consortium for Computing Sciences in Colleges in cooperation with ACM/SIGCSE invites you to part
Normal,108810_ind0502A.txt,"                      As a retired professor still active in CS education conferences,  I need your "
Normal,10854_ind1102C.txt,"Hi,  I posted a few days ago, asking about backup policies at your schools. I received LOTS of respo"
Conference,1081_ind0810D.txt,"We are excited to announce SIGCSE 2009's program, available from the SIGCSE 2009 website    http://w"
Normal,103467_ind0302C.txt,A number of issues have been discussed in the Objects have failed us thread. Some of this is address
Normal,10441_ind0101C.txt,I am a new full-time instructor teaching an introduction to programming and CS using C++ in a one-ye
Job,101093_ind0011A.txt,DePauw University's advertisement will be published in the December issue of the _Communications_. W
Job,1020117_ind1511C.txt,[I am forwarding this to SIGCSE-MEMBERS on behalf of the Department of Computer Science at Allegheny
Normal,1108013_ind1102A.txt,I worked at Digital from 1974-1984.  I'm sure that many other SIGCSE members either worked there at 
Normal,10075_ind1101C.txt,I'd like to bring this to SIGCSE members attention.  The NITRD program is seeking comments on K-12 C
Conference,11219_ind1504C.txt,"This new conference in Charlotte, NC right after ICER is of HIGH relevance to any CS educator reachi"
